date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:05:03	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:01%20GMT	https://vk.link/widget_podcast.php	D:/copy%20sites/vk%20FN/vk.link/widget_podcast.php	(from https://vk.com/js/api/openapi.js?168)
02:05:03	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:02%20GMT	https://vk.link/widget_community_messages.php	D:/copy%20sites/vk%20FN/vk.link/widget_community_messages.php	(from https://vk.com/js/api/openapi.js?168)
02:05:03	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:02%20GMT	https://vk.link/blank.php?	D:/copy%20sites/vk%20FN/vk.link/blankd41d.php	(from https://vk.com/js/api/openapi.js?168)
02:05:03	164/164	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2004%20Dec%202020%2023:05:02%20GMT	http://vk.com/js/api/openapi_update.js?	D:/copy%20sites/vk%20FN/vk.com/js/api/openapi_update.1ed41d.delayed	(from https://vk.com/js/api/openapi.js?168)
02:05:04	408/408	---M--	404	error ('Not%20Found')	text/html	etag:%225f6a5ec9-198%22	https://vk.com/js/api/openapi_update.js?	D:/copy%20sites/vk%20FN/vk.com/js/api/openapi_update.1fd41d.delayed	(from https://vk.com/js/api/openapi.js?168)
02:05:04	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:03%20GMT	https://vk.link/api/openapi.js	D:/copy%20sites/vk%20FN/vk.link/api/openapi.js	(from https://vk.com/js/api/openapi.js?168)
02:05:04	0/0	---M-Z	302	error ('Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:03%20GMT	https://vk.link/al_index.php?act=a_unauthorized_box	D:/copy%20sites/vk%20FN/vk.link/al_indexfeed.php	(from https://vk.link/js/cmodules/bundles/common.10b3fae962645065a9f7.js?27384221dc91ec12194b)
02:05:04	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:03%20GMT	https://vk.link/eQf/	D:/copy%20sites/vk%20FN/vk.link/eQf/index.html	(from https://vk.link/js/cmodules/bundles/common.10b3fae962645065a9f7.js?27384221dc91ec12194b)
02:05:05	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:04%20GMT	https://vk.link/web/photoview.js	D:/copy%20sites/vk%20FN/vk.link/web/photoview.js	(from https://vk.link/js/cmodules/bundles/common.10b3fae962645065a9f7.js?27384221dc91ec12194b)
02:05:05	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:04%20GMT	https://vk.link/photoview.css	D:/copy%20sites/vk%20FN/vk.link/photoview.css	(from https://vk.link/js/cmodules/bundles/common.10b3fae962645065a9f7.js?27384221dc91ec12194b)
02:05:05	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:04%20GMT	https://vk.link/page.js	D:/copy%20sites/vk%20FN/vk.link/page.js	(from https://vk.link/js/cmodules/bundles/common.10b3fae962645065a9f7.js?27384221dc91ec12194b)
02:05:05	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:04%20GMT	https://vk.link/al_photos.php	D:/copy%20sites/vk%20FN/vk.link/al_photos.php	(from https://vk.link/js/cmodules/bundles/common.10b3fae962645065a9f7.js?27384221dc91ec12194b)
02:05:06	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:05%20GMT	https://vk.link/web/video.js	D:/copy%20sites/vk%20FN/vk.link/web/video.js	(from https://vk.link/js/cmodules/bundles/common.10b3fae962645065a9f7.js?27384221dc91ec12194b)
02:05:06	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:05%20GMT	https://vk.link/video.css	D:/copy%20sites/vk%20FN/vk.link/video.css	(from https://vk.link/js/cmodules/bundles/common.10b3fae962645065a9f7.js?27384221dc91ec12194b)
02:05:06	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Dec%202020%2023:05:05%20GMT	https://vk.link/al_market.php	D:/copy%20sites/vk%20FN/vk.link/al_market.php	(from https://vk.link/js/cmodules/bundles/common.10b3fae962645065a9f7.js?27384221dc91ec12194b)
